name,substitute
cassava flour,cassava flour
chickpea (garbanzo) flour,chickpea (garbanzo) flour
chapati flour,gluten-free chapati flour
dal flour,dal flour
fufu flour,fufu flour
kamut flour,amaranth flour
millet flour,millet flour
teff flour,teff flour
almond meal/flour,almond meal/flour
amaranth flour,amaranth flour
barley flour,buckwheat flour
buckwheat flour,buckwheat flour
corn flour,corn flour
flaxseed flour or meal,flaxseed flour or meal
oat flour,oat flour
peanut flour,peanut flour
potato flour,potato flour
rice flour brown,rice flour brown
rice flour white,rice flour white
rye flour,teff flour
soy flour,soy flour
spelt flour,amaranth flour
all purpose flour,all purpose gluten-free flour
100% whole-wheat flour,100% whole-wheat gluten-free flour
white whole-wheat flour,white whole-wheat gluten-free flour
self-rising flour,amaranth flour
pastry flour,gluten-free pastry flour
cake flour,gluten-free cake flour
bread flour,gluten-free bread flour
gluten flour,amaranth flour
semolina flour,buckwheat flour
teff flour,teff flour
fusillini,multigrain fusillini
farfalle,multigrain farfalle
fusilli,multigrain fusilli
orecchiette,multigrain orecchiette
bucatini,multigrain bucatini
macaroni,multigrain macaroni
rigatoni,multigrain rigatoni
spaghetti,multigrain spaghetti
vermicelli,multigrain vermicelli
capellini,multigrain capellini
bavette,multigrain bavette
fettuccine,multigrain fettuccine
linguine,multigrain linguine
mafaldine,multigrain mafaldine
pappardelle,multigrain pappardelle
pizzoccheri,multigrain pizzoccheri
stringozzi,multigrain stringozzi
tagliatelle,multigrain tagliatelle
tagliolini,multigrain tagliolini
ravioli,multigrain ravioli
tortellini,multigrain tortellini
tortelloni,multigrain tortelloni
noodle,multigrain noodle
wonton,multigrain wonton
bigoli,multigrain bigoli
pierogi,multigrain pierogi
trenette,multigrain trenette
spaghetti alla chitarra,multigrain spaghetti alla chitarra
garganelli,multigrain garganelli
acini di pepe,multigrain acini di pepe
mezzelune,multigrain mezzelune
pumpkin tortellini,multigrain pumpkin tortellini
capelli d’angelo,multigrain capelli d’angelo
cappelletti,multigrain cappelletti
corzetti,multigrain corzetti
penne,multigrain penne
radiatori,multigrain radiatori
orzo,multigrain orzo
pici,multigrain pici
shumai,multigrain shumai
ziti,multigrain ziti
agnolotti pavesi,multigrain agnolotti pavesi
culurgiones,multigrain culurgiones
ditalini,multigrain ditalini
fusilli bucati,multigrain fusilli bucati
pansotti,multigrain pansotti
lasagne,multigrain lasagne
maccheroncini di campofilone,multigrain maccheroncini di campofilone
mafalde,multigrain mafalde
maltagliati,multigrain maltagliati
sagne,multigrain sagne
scialatelli,multigrain scialatelli
strascinati,multigrain strascinati
testaroli,multigrain testaroli
tortelli,multigrain tortelli
tortello amaro di castel goffredo,multigrain tortello amaro di castel goffredo
croxetti,multigrain croxetti
rotini,multigrain rotini
fiori,multigrain fiori
foglie d'ulivo,multigrain foglie d'ulivo
pillus,multigrain pillus
sacchettoni,multigrain sacchettoni
sagnarelli,multigrain sagnarelli
tripoline,multigrain tripoline
macaroni,multigrain macaroni
varenyky,multigrain varenyky
caccavelle,multigrain caccavelle
cencioni,multigrain cencioni
maccheroni alla molinara,multigrain maccheroni alla molinara
pipe rigate,multigrain pipe rigate
anelloni,multigrain anelloni
capunti,multigrain capunti
barbine,multigrain barbine
troccoli,multigrain troccoli
maccheroni al pettine,multigrain maccheroni al pettine
cornetti,multigrain cornetti
parmatieddi,multigrain parmatieddi
conchiglioni,multigrain conchiglioni
busiate,multigrain busiate
fileja,multigrain fileja
fedelini,multigrain fedelini
matriciani,multigrain matriciani
fazzoletti,multigrain fazzoletti
rombi,multigrain rombi
ribbon noodle,multigrain ribbon noodle
conchigliette,multigrain conchigliette
millerighe,multigrain millerighe
tortellini filled with cheese,multigrain tortellini filled with cheese
star pasta,multigrain star pasta
wholemeal pasta,multigrain wholemeal pasta
linguine pasta,multigrain linguine pasta
kneippbrød,gluten-free kneippbrød
bolo do caco,gluten-free bolo do caco
pathiri,gluten-free pathiri
baati,gluten-free baati
rumali roti,gluten-free rumali roti
beer bread,gluten-free beer bread
burebrot,gluten-free burebrot
ciriola,gluten-free ciriola
civraxiu,gluten-free civraxiu
friselle,gluten-free friselle
gnocco fritto,gluten-free gnocco fritto
sop,gluten-free sop
kitcha,gluten-free kitcha
rye bread,gluten-free rye bread
pane casareccio di genzano,gluten-free pane casareccio di genzano
pane di altamura,gluten-free pane di altamura
adobe bread,gluten-free adobe bread
krol,gluten-free krol
barley bread,gluten-free barley bread
barm cake,gluten-free barm cake
biscuit,gluten-free biscuit
biskotso,gluten-free biskotso
bollo,gluten-free bollo
bread bun,gluten-free bread bun
broa de avintes,gluten-free broa de avintes
bulkie roll,gluten-free bulkie roll
canadian white,gluten-free canadian white
cheesymite scroll,gluten-free cheesymite scroll
chinese pancake,gluten-free chinese pancake
coco bread,gluten-free coco bread
cocol,gluten-free cocol
crackling bread,gluten-free crackling bread
crustless bread,gluten-free crustless bread
makki di roti,gluten-free makki di roti
filone,gluten-free filone
finnish bread,gluten-free finnish bread
rusk,gluten-free rusk
fried bread,gluten-free fried bread
ochío,gluten-free ochío
grant loaf,gluten-free grant loaf
güirila,gluten-free güirila
hard dough bread,gluten-free hard dough bread
unleavened bread,gluten-free unleavened bread
kandil simidi,gluten-free kandil simidi
tapan,gluten-free tapan
pan de cruz,gluten-free pan de cruz
jolada rotti/ jawari roti,gluten-free jolada rotti/ jawari roti
ka'ak al-quds,gluten-free ka'ak al-quds
mandoca,gluten-free mandoca
mealie bread,gluten-free mealie bread
national loaf,gluten-free national loaf
no-knead bread,gluten-free no-knead bread
panbrioche,gluten-free panbrioche
pandebono,gluten-free pandebono
panfocaccia,gluten-free panfocaccia
parva,gluten-free parva
peg bread,gluten-free peg bread
piki,gluten-free piki
plain loaf,gluten-free plain loaf
potbrood,gluten-free potbrood
proja,gluten-free proja
rosca,gluten-free rosca
salt-rising bread,gluten-free salt-rising bread
sanna,gluten-free sanna
sausage bread,gluten-free sausage bread
sel roti,gluten-free sel roti
slow bread,gluten-free slow bread
soldiers,gluten-free soldiers
sorullos,gluten-free sorullos
steamed bread,gluten-free steamed bread
stottie cake,gluten-free stottie cake
taftan,gluten-free taftan
tapalapa bread,gluten-free tapalapa bread
tortilla de rescoldo,gluten-free tortilla de rescoldo
wagafi bread,gluten-free wagafi bread
pan de yuca,gluten-free pan de yuca
chipa,gluten-free chipa
hönökaka,gluten-free hönökaka
paltbröd,gluten-free paltbröd
succarie bread,gluten-free succarie bread
upplandskubb,gluten-free upplandskubb
quick bread,gluten-free quick bread
limppu,gluten-free limppu
palyanitsya,gluten-free palyanitsya
samoon,gluten-free samoon
pan de cea,gluten-free pan de cea
vrtanek,gluten-free vrtanek
bublik,gluten-free bublik
covrigi,gluten-free covrigi
ramadan pide,gluten-free ramadan pide
whole wheat bread,gluten-free whole wheat bread
trenza,gluten-free trenza
dürüm,gluten-free dürüm
georgian bread,gluten-free georgian bread
scali bread,gluten-free scali bread
khebz,gluten-free khebz
maltese bread,gluten-free maltese bread
colaci,gluten-free colaci
horsebread,gluten-free horsebread
mexican bread,gluten-free mexican bread
turkish breads,gluten-free turkish breads
açma,gluten-free açma
multigrain bread,gluten-free multigrain bread
kkulppang,gluten-free kkulppang
sandwich bread,gluten-free sandwich bread
pa de pages catala,gluten-free pa de pages catala
german bread,gluten-free german bread
yeast bread,gluten-free yeast bread
sweet bread,gluten-free sweet bread
fruit bread,gluten-free fruit bread
sourdough bread,gluten-free sourdough bread
obwarzanek krakowski,gluten-free obwarzanek krakowski
cornell bread,gluten-free cornell bread
bread dildo,gluten-free bread dildo
sliced bread,gluten-free sliced bread
black bread,gluten-free black bread
leavened bread,gluten-free leavened bread
beer bread,gluten-free beer bread
veneziana,gluten-free veneziana
pakistani bread,gluten-free pakistani bread
tepert?s pogácsa,gluten-free tepert?s pogácsa
rusk,gluten-free rusk
tarvo,gluten-free tarvo
pain d'épices,gluten-free pain d'épices
sesame roll,gluten-free sesame roll
waffle,gluten-free waffle
toast,gluten-free toast
christmas wafer,gluten-free christmas wafer
pan loaf,gluten-free pan loaf
baguette,gluten-free baguette
zopf,gluten-free zopf
ciabatta,gluten-free ciabatta
po?aça,gluten-free po?aça
easter bread,gluten-free easter bread
ölbrot,gluten-free ölbrot
basler brot,gluten-free basler brot
altbrot,gluten-free altbrot
mutschel,gluten-free mutschel
anpan,gluten-free anpan
antidoron,gluten-free antidoron
fatoot,gluten-free fatoot
kommissbrot,gluten-free kommissbrot
bread crumbs,gluten-free bread crumbs
flatbread,gluten-free flatbread
graham bread,gluten-free graham bread
michetta,gluten-free michetta
challah,gluten-free challah
kompyang,gluten-free kompyang
potato bread,gluten-free potato bread
rice bread,gluten-free rice bread
simit,gluten-free simit
tiger bread,gluten-free tiger bread
monkey bread,gluten-free monkey bread
brown bread,gluten-free brown bread
st. galler brot,gluten-free st. galler brot
mandarin roll,gluten-free mandarin roll
bush bread,gluten-free bush bread
curry bread,gluten-free curry bread
laobing,gluten-free laobing
vasilopita,gluten-free vasilopita
cornbread,gluten-free cornbread
puri,gluten-free puri
daktyla,gluten-free daktyla
kolach,gluten-free kolach
